Provincia,Localidad,Hospital / Unidad Docente,Especialidad,Plazas Ofertadas,Latitud,Longitud
ALMERÍA,ALMERÍA,UDM SALUD MENTAL C. H. TORRECARDENAS DE ALMERÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,36.8414197,-2.4628135
ALMERÍA,ALMERÍA,UDM AFYC DISTRITO DE ATENCIÓN PRIMARIA ALMERÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,4,36.8414197,-2.4628135
ALMERÍA,ALMERÍA,UDM OBSTETRICIA Y GINECOLOGÍA C.H. TORRECÁRDENAS DE ALMERÍA PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,3,36.8414197,-2.4628135
ALMERÍA,ALMERÍA,UDM PEDIATRÍA DEL C.H. TORRECÁRDENAS DE ALMERÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,3,36.8414197,-2.4628135
ALMERÍA,ALMERÍA,UDM SALUD LABORAL ANDALUCÍA. C.H. TORRECÁRDENAS. SPRL ALMERÍA PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,36.8414197,-2.4628135
ALMERÍA,EJIDO (EL),UDM SALUD MENTAL H. DE PONIENTE PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,36.7109765,-2.696357
ALMERÍA,EJIDO (EL),UDM AFYC DISTRITO DE ATENCIÓN PRIMARIA PONIENTE DE ALMERÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,3,36.7109765,-2.696357
ALMERÍA,EJIDO (EL),UDM OBSTETRICIA Y GINECOLOGÍA H. DE PONIENTE. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,2,36.7109765,-2.696357
ALMERÍA,HUÉRCAL - OVERA,UDM AFYC ÁREA DE GESTIÓN SANITARIA NORTE DE ALMERÍA. PLAZAS ELEGIBLES PLAZAS ESPECIALIDAD ACREDITADAS MED. FAR. ENF. BIO. QUI. FIS. PSI. ENFERMERÍA FAMILIAR Y COMUNITARIA. 4 4,Enfermería Familiar Y Comunitaria.,4,37.3895979,-1.9450652
ALMERÍA,HUÉRCAL - OVERA,UD ENFOBG ALMERÍA. H. LA INMACULADA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,1,37.3895979,-1.9450652
CÁDIZ,ALGECIRAS,UDM AFYC ÁREA GESTIÓN SANITARIA CAMPO DE GIBRALTAR OESTE. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,2,36.1311725,-5.4473991
CÁDIZ,ALGECIRAS,UD ENFOBG CÁDIZ. H. PUNTA DE EUROPA DE ALGECIRAS. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,3,36.1311725,-5.4473991
CÁDIZ,ALGECIRAS,UDM SALUD MENTAL A.G.S CAMPO DE GIBRALTAR ( H. PUNTA DE EUROPA). PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,2,36.1311725,-5.4473991
CÁDIZ,CÁDIZ,UDM AFYC DISTRITO DE ATENCIÓN PRIMARIA BAHÍA DE CÁDIZ-LA JANDA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,13,36.5297438,-6.2928976
CÁDIZ,CÁDIZ,UD ENFOBG CÁDIZ. H. UNIVERSITARIO PUERTA DEL MAR. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,6,36.5297438,-6.2928976
CÁDIZ,CÁDIZ,UDM DE SALUD MENTAL HOSPITAL UNIVERSITARIO PUERTA DEL MAR. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,36.5297438,-6.2928976
CÁDIZ,CÁDIZ,UDM PEDIATRÍA DEL H. UNIVERSITARIO PUERTA DEL MAR DE CÁDIZ. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,5,36.5297438,-6.2928976
CÁDIZ,CÁDIZ,UDM SALUD LABORAL DE ANDALUCÍA. H.U. PUERTA DEL MAR. SPRL CÁDIZ. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,36.5297438,-6.2928976
CÁDIZ,JEREZ DE LA FRONTERA,"UDM AFYC ÁREA DE GESTIÓN SANITARIA JEREZ, COSTA NOROESTE Y SIERRA DE CÁDIZ. PLAZAS ELEGIBLES PLAZAS",Enfermería Familiar Y Comunitaria.,5,36.6816936,-6.1377402
CÁDIZ,JEREZ DE LA FRONTERA,UD ENFOBG CÁDIZ. H. DE JEREZ DE LA FRONTERA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,5,36.6816936,-6.1377402
CÁDIZ,JEREZ DE LA FRONTERA,UDM PEDIATRÍA DEL H. JEREZ DE LA FRONTERA. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,2,36.6816936,-6.1377402
CÁDIZ,JEREZ DE LA FRONTERA,UDM SALUD MENTAL H. DE JEREZ DE LA FRONTERA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,3,36.6816936,-6.1377402
CÁDIZ,LÍNEA DE LA CONCEPCIÓN,UDM AFYC ÁREA GESTIÓN SANITARIA CAMPO DE GIBRALTAR ESTE. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,4,36.1616305,-5.3544788
CÁDIZ,LÍNEA DE LA CONCEPCIÓN,UD ENFOBG CÁDIZ. H. DE LA LÍNEA DE LA CONCEPCIÓN. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,1,36.1616305,-5.3544788
CÁDIZ,PUERTO REAL,UDM SALUD MENTAL DEL H. UNIVERSITARIO DE PUERTO REAL. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,2,36.5286856,-6.1902161
CÁDIZ,PUERTO REAL,UD ENFOBG CÁDIZ. H. UNIVERSITARIO DE PUERTO REAL. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,5,36.5286856,-6.1902161
CÓRDOBA,CABRA,UDM SALUD MENTAL ÁREA GESTIÓN SANITARIA SUR DE CÓRDOBA -H. INFANTA MARGARITA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,37.4718153,-4.4335616
CÓRDOBA,CABRA,UDM AFYC ÁREA DE GESTIÓN SANITARIA SUR DE CÓRDOBA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,3,37.4718153,-4.4335616
CÓRDOBA,CÓRDOBA,UDM SALUD MENTAL H. UNIVERSITARIO REINA SOFÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,6,37.8845813,-4.7760138
CÓRDOBA,CÓRDOBA,UDM AFYC DISTRITO ATENCIÓN PRIMARIA CÓRDOBA-CÓRDOBA GUADALQUIVIR. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,5,37.8845813,-4.7760138
CÓRDOBA,CÓRDOBA,UDM OBSTETRICIA Y GINECOLOGÍA H. UNIVERSITARIO. REINA SOFÍA DE CÓRDOBA. PLAZAS ELEGIBLES PLAZAS,Enfermería Obstetrico-Ginecológica.,4,37.8845813,-4.7760138
CÓRDOBA,CÓRDOBA,UDM PEDIATRÍA DEL H.UNIVERSITARIO REINA SOFÍA. PLAZAS ELEGIBLES PLAZAS,Enfermería Pediátrica.,4,37.8845813,-4.7760138
CÓRDOBA,CÓRDOBA,UDM SALUD LABORAL ANDALUCÍA. H.U. REINA SOFÍA. SPRL CÓRDOBA. PLAZAS ELEGIBLES PLAZAS,Enfermería Del Trabajo.,2,37.8845813,-4.7760138
CÓRDOBA,POZOBLANCO,UDM AFYC ÁREA DE GESTIÓN SANITARIA NORTE DE CÓRDOBA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,6,38.3780204,-4.848573
GRANADA,BAZA,UDM SALUD MENTAL DEL HOSPITAL DE BAZA. PLAZAS ELEGIBLES PLAZAS,Enfermería De Salud Mental.,1,37.4888637,-2.7709805
GRANADA,BAZA,UDM AFYC ÁREA DE GESTIÓN SANITARIA NORDESTE DE GRANADA. PLAZAS ELEGIBLES PLAZAS,Enfermería Familiar Y Comunitaria.,4,37.4888637,-2.7709805
